$MSTAT,1600560600,092020,001000,12.0748.2984,E,1.26,251.32,200920,,,A*60
$MSTAT,1600575961,092020,042601,12.0396,0.2351,28.0546,45.8725,3.2154,1.2144,3.3162,15284832
$MSTAT,1600576080,092020,042800,12.0456,0.2213,28.1046,45.9231,3.2156,1.2144,3.3163,15284832
$MSTAT,1600576200,092020,043000,12.0398,0.2391,28.0413,45.6298,3.2158,1.2144,3.3158,15284832
$MSTAT,1600576321,092020,043201,12.0486,0.2359,28.0566,46.0045,3.2141,1.2144,3.3163,15284832
$MSTAT,1600576441,092020,043401,12.0347,0.2573,28.0272,46.0353,3.2168,1.2144,3.3175,15284832
$MSTAT,1600576559,092020,043559,12.0425,0.2343,28.0842,45.9703,3.2169,1.2144,3.3172,15284832
$MSTAT,1600576561,092020,043601,12.0350,0.2362,28.0831,45.8776,3.2165,1.2144,3.3175,15284832
$MSTAT,1600576681,092020,043801,12.0472,0.2211,28.0$MSTAT,1600577881,092020,045801,12.0395,0.2367,28.0011,45.7204,3.2152,1.2144,3.3172,15284832
$MSTAT,1600578001,092020,050001,12.0345,0.2405,28.0057,45.6568,3.2155,1.2144,3.3169,15284832
$MSTAT,1600578120,092020,050200,12.0430,0.2378,28.0002,46.0487,3.2157,1.2144,3.3173,15284832
$MSTAT,1600578240,092020,050400,12.0349,0.2241,28.0623,46.0942,3.2173,1.2144,3.3177,15284832
$MSTAT,1600578360,092020,050600,12.0333,0.2389,28.0333,45.8422,3.2152,1.2144,3.3166,15284832
$MSTAT,1600578481,092020,050801,12.0495,0.2276,28.0707,46.0857,3.2169,1.2144,3.3183,15284832
$MSTAT,1600578601,092020,051001,12.0335,0.2594,28.0180,45.6595,3.2163,1.2144,3.3172,15284832
$MSTAT,1600578720,092020,051200,12.0303,0.2373,28.0264,45.8046,3.2144,1.2144,3.3167,15284832
$MSTAT,1600578840,092020,051400,12.0394,0.2589,28.0431,46.0119,3.2173,1.2144,3.3177,15284832
$MSTAT,1600578961,092020,051601,12.0365,0.2531,28.0022,45.5008,3.2138,1.2144,3.3161,15284832
$MSTAT,1600579081,092020,051801,12.0382,0.2323,28.0695,45.6735,3.2146,1.2144,3.3158,15284832
$MSTAT,1600579200,092020,052000,12.0454,0.2246,28.0103,45.7001,3.2169,1.2144,3.3173,15284832
$MSTAT,1600579320,092020,052200,12.0375,0.2470,28.0241,46.0305,3.2162,1.2144,3.3171,15284832
$MSTAT,1600579441,092020,052401,12.0390,0.2450,28.0557,46.1796,3.2164,1.2144,3.3186,15284832
$MSTAT,1600579561,092020,052601,12.0358,0.2367,28.0143,45.7562,3.2158,1.2144,3.3171,15284832
$MSTAT,1600579680,092020,052800,12.0485,0.2246,28.0646,45.7274,3.2174,1.2144,3.3167,15284832
$MSTAT,1600579800,092020,053000,12.0418,0.2319,28.0192,45.6368,3.2159,1.2144,3.3169,15284832
$MSTAT,1600579921,092020,053201,12.0292,0.2448,28.0462,45.7868,3.2146,1.2144,3.3168,15284832
$MSTAT,1600580041,092020,053401,12.0296,0.2569,28.0563,45.8651,3.2150,1.2144,3.3164,15284832
$MSTAT,1600580160,092020,053600,12.0400,0.2151,28.0793,45.6292,3.2156,1.2144,3.3163,15284832
